sensor_id,sensor_code,sensor_type,status,firmware_version,location_name,latitude,longitude,last_seen,created_at,village_id,village_name,district,state,population,reading_count,latest_reading_at,latest_quality_score,latest_ph,latest_turbidity,latest_ecoli
82dc391f-c165-425d-a999-3b296ee18283,JAL-0001,water_quality,active,1.0.0,Bakultala monitoring point,12.50389,92.85917,2026-04-01T08:16:52.826469,2026-04-01T08:16:52.829630,ad2d7f2e-f53d-4463-a526-586f0de13999,Bakultala,North And Middle Andaman,Andaman And Nicobar Islands,1000,12,2026-04-01T08:16:52.826469,85.67,6.83,2.63,2.5
0eaee65b-6c28-4fe0-8093-1a8a02bd0b44,JAL-0002,water_quality,active,1.0.0,Baratang monitoring point,12.16694,92.76556,2026-04-01T08:16:52.826469,2026-04-01T08:16:52.835389,be4e2d2a-cead-4d00-9100-234dfca74398,Baratang,North And Middle Andaman,Andaman And Nicobar Islands,1173,12,2026-04-01T08:16:52.826469,85.48,6.84,2.67,2.5
3c3b5535-b9af-41df-8f8f-b02e71dfb130,JAL-0003,water_quality,active,1.0.0,Basantipur monitoring point,12.72917,92.88472,2026-04-01T08:16:52.826469,2026-04-01T08:16:52.845263,c1230b20-80ac-4a2f-ac5c-1d94a7737232,Basantipur,North And Middle Andaman,Andaman And Nicobar Islands,1346,12,2026-04-01T08:16:52.826469,84.89,6.85,2.71,2.6
859c3aab-a59a-4d1c-81c4-355e8e69748e,JAL-0004,water_quality,active,1.0.0,Betapur monitoring point,12.62222,92.87278,2026-04-01T08:16:52.826469,2026-04-01T08:16:52.851188,bd6c8b57-b55f-495d-9802-05066e5d8784,Betapur,North And Middle Andaman,Andaman And Nicobar Islands,1519,12,2026-04-01T08:16:52.826469,84.7,6.86,2.75,2.6
fb3446fe-298a-4f64-8b64-aa43e9c775e6,JAL-0005,water_quality,active,1.0.0,Durgapur monitoring point,13.23083,92.95528,2026-04-01T08:16:52.826469,2026-04-01T08:16:52.856850,feabe378-4852-4a70-8d93-5f0129266c4c,Durgapur,North And Middle Andaman,Andaman And Nicobar Islands,1692,12,2026-04-01T08:16:52.826469,84.51,6.87,2.8,2.6
11ed7a45-a794-4d39-9331-1fb56db54921,JAL-0006,water_quality,active,1.0.0,Haribeck monitoring point,12.98222,92.84556,2026-04-01T08:16:52.826469,2026-04-01T08:16:52.862391,e9772782-4514-4a60-acbc-7c8d0c420e35,Haribeck,North And Middle Andaman,Andaman And Nicobar Islands,1865,12,2026-04-01T08:16:52.826469,83.92,6.89,2.84,2.7
dc77190c-bd7a-4f5f-81ae-f9d3406065b8,JAL-0007,water_quality,active,1.0.0,Joypur monitoring point,12.69917,92.88167,2026-04-01T08:16:52.826469,2026-04-01T08:16:52.868937,80a40053-3bcd-43b4-bb74-f3592cde7840,Joypur,North And Middle Andaman,Andaman And Nicobar Islands,2038,12,2026-04-01T08:16:52.826469,83.73,6.9,2.88,2.7
497e88b4-ae3f-456f-ba8f-8fb13f0bdd33,JAL-0008,water_quality,active,1.0.0,Kadamtala monitoring point,12.34472,92.77889,2026-04-01T08:16:52.826469,2026-04-01T08:16:52.874444,86a06424-b68c-4d79-92b0-cac95c5eba9d,Kadamtala,North And Middle Andaman,Andaman And Nicobar Islands,2211,12,2026-04-01T08:16:52.826469,83.55,6.91,2.93,2.7
cc8a70b5-1a84-4de0-9e6c-d861318760ba,JAL-0009,water_quality,active,1.0.0,Kausalyanagar monitoring point,12.39528,92.78222,2026-04-01T08:16:52.826469,2026-04-01T08:16:52.879344,c2359ff6-4b4d-4a24-93d8-8add22098971,Kausalyanagar,North And Middle Andaman,Andaman And Nicobar Islands,2384,12,2026-04-01T08:16:52.826469,82.96,6.92,2.97,2.8
9015b7f7-c1b2-4048-8302-b0c20e46cf79,JAL-0010,water_quality,active,1.0.0,Keralapuram monitoring point,13.26028,93.01361,2026-04-01T08:16:52.826469,2026-04-01T08:16:52.887513,9cb484f8-da74-4ffd-acd4-8f09e6893a18,Keralapuram,North And Middle Andaman,Andaman And Nicobar Islands,2557,12,2026-04-01T08:16:52.826469,82.77,6.93,3.01,2.8
