resource_id,name,state_name,district_name,district_key,resource_type,source_dataset,observation_year,temperature,dissolved_oxygen,ph,tds,turbidity,ecoli,nitrate,arsenic,fluoride,quality_status,latitude,longitude,water_quality_score
0,Village_0,Bihar,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.72,388.0,1.39,,,0.057,0.68,unsafe,,,90.0
1,Village_1,Uttar Pradesh,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.83,993.0,1.42,,,0.021,2.87,unsafe,,,70.0
2,Village_2,Madhya Pradesh,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,8.07,602.0,3.3,,,0.071,0.48,unsafe,,,75.0
3,Village_3,Tamil Nadu,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.47,340.0,1.88,,,0.024,0.94,unsafe,,,90.0
4,Village_4,Madhya Pradesh,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.34,250.0,3.88,,,0.024,1.72,unsafe,,,85.0
5,Village_5,Bihar,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.28,1130.0,1.38,,,0.053,1.24,unsafe,,,75.0
6,Village_6,Gujarat,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,7.0,540.0,4.38,,,0.047,1.1,unsafe,,,60.0
7,Village_7,Madhya Pradesh,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,6.74,510.0,1.76,,,0.065,0.36,unsafe,,,75.0
8,Village_8,Gujarat,Patna,patna,groundwater,village_water_quality_50000.csv,,,,8.1,380.0,4.33,,,0.05,0.32,unsafe,,,75.0
9,Village_9,Bihar,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,6.65,864.0,2.27,,,0.058,1.63,unsafe,,,70.0
10,Village_10,Madhya Pradesh,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.35,588.0,3.8,,,0.032,2.59,unsafe,,,70.0
11,Village_11,Bihar,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.12,1050.0,1.06,,,0.014,1.5,unsafe,,,75.0
12,Village_12,Madhya Pradesh,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,7.82,1310.0,3.43,,,0.039,2.28,unsafe,,,70.0
13,Village_13,Rajasthan,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,8.12,578.0,2.26,,,0.028,1.11,unsafe,,,75.0
14,Village_14,Madhya Pradesh,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.03,699.0,2.2,,,0.037,1.91,unsafe,,,70.0
15,Village_15,Madhya Pradesh,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,6.68,241.0,3.08,,,0.053,1.78,unsafe,,,85.0
16,Village_16,Gujarat,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,8.49,821.0,4.64,,,0.025,2.96,unsafe,,,55.0
17,Village_17,West Bengal,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,6.71,421.0,1.5,,,0.09,0.93,unsafe,,,90.0
18,Village_18,Rajasthan,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,8.05,430.0,2.02,,,0.008,2.12,unsafe,,,95.0
19,Village_19,Tamil Nadu,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.07,291.0,4.22,,,0.072,1.94,unsafe,,,70.0
20,Village_20,Uttar Pradesh,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.32,331.0,4.47,,,0.061,2.53,unsafe,,,70.0
21,Village_21,Gujarat,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,6.88,1347.0,3.53,,,0.055,1.34,unsafe,,,75.0
22,Village_22,Gujarat,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,8.41,1076.0,4.2,,,0.038,0.79,unsafe,,,60.0
23,Village_23,Uttar Pradesh,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.86,638.0,2.52,,,0.094,0.85,unsafe,,,75.0
24,Village_24,Bihar,Patna,patna,groundwater,village_water_quality_50000.csv,,,,8.42,1176.0,2.15,,,0.081,1.8,unsafe,,,70.0
25,Village_25,Tamil Nadu,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,8.5,295.0,4.32,,,0.069,1.67,unsafe,,,70.0
26,Village_26,Maharashtra,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,6.82,881.0,2.53,,,0.049,0.34,unsafe,,,75.0
27,Village_27,Tamil Nadu,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,6.68,362.0,4.79,,,0.068,1.49,unsafe,,,75.0
28,Village_28,West Bengal,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.86,462.0,2.77,,,0.034,1.0,unsafe,,,90.0
29,Village_29,Uttar Pradesh,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.18,624.0,4.32,,,0.064,2.83,unsafe,,,55.0
30,Village_30,Uttar Pradesh,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.68,1068.0,2.0,,,0.003,0.62,unsafe,,,85.0
31,Village_31,Rajasthan,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,7.07,841.0,3.06,,,0.012,2.2,unsafe,,,70.0
32,Village_32,Uttar Pradesh,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,7.6,363.0,3.69,,,0.044,2.9,unsafe,,,85.0
