Village_ID,Village,State,District,Water_Source,pH,TDS,Hardness,Fluoride,Arsenic,Quality_Status
0,Village_0,Bihar,Jaipur,Groundwater,7.72,388,139,0.68,0.057,Unsafe
1,Village_1,Uttar Pradesh,Chennai,Groundwater,7.83,993,142,2.87,0.021,Unsafe
2,Village_2,Madhya Pradesh,Chennai,Groundwater,8.07,602,330,0.48,0.071,Unsafe
3,Village_3,Tamil Nadu,Chennai,Groundwater,7.47,340,188,0.94,0.024,Unsafe
4,Village_4,Madhya Pradesh,Nagpur,Groundwater,7.34,250,388,1.72,0.024,Unsafe
5,Village_5,Bihar,Bhopal,Groundwater,7.28,1130,138,1.24,0.053,Unsafe
6,Village_6,Gujarat,Kolkata,Groundwater,7.0,540,438,1.1,0.047,Unsafe
7,Village_7,Madhya Pradesh,Jaipur,Groundwater,6.74,510,176,0.36,0.065,Unsafe
8,Village_8,Gujarat,Patna,Groundwater,8.1,380,433,0.32,0.05,Unsafe
9,Village_9,Bihar,Kolkata,Groundwater,6.65,864,227,1.63,0.058,Unsafe
10,Village_10,Madhya Pradesh,Jaipur,Groundwater,7.35,588,380,2.59,0.032,Unsafe
11,Village_11,Bihar,Bhopal,Groundwater,7.12,1050,106,1.5,0.014,Unsafe
12,Village_12,Madhya Pradesh,Muzaffarnagar,Groundwater,7.82,1310,343,2.28,0.039,Unsafe
13,Village_13,Rajasthan,Muzaffarnagar,Groundwater,8.12,578,226,1.11,0.028,Unsafe
14,Village_14,Madhya Pradesh,Bhopal,Groundwater,7.03,699,220,1.91,0.037,Unsafe
15,Village_15,Madhya Pradesh,Jaipur,Groundwater,6.68,241,308,1.78,0.053,Unsafe
16,Village_16,Gujarat,Chennai,Groundwater,8.49,821,464,2.96,0.025,Unsafe
17,Village_17,West Bengal,Chennai,Groundwater,6.71,421,150,0.93,0.09,Unsafe
18,Village_18,Rajasthan,Ahmedabad,Groundwater,8.05,430,202,2.12,0.008,Unsafe
19,Village_19,Tamil Nadu,Patna,Groundwater,7.07,291,422,1.94,0.072,Unsafe
20,Village_20,Uttar Pradesh,Patna,Groundwater,7.32,331,447,2.53,0.061,Unsafe
21,Village_21,Gujarat,Muzaffarnagar,Groundwater,6.88,1347,353,1.34,0.055,Unsafe
22,Village_22,Gujarat,Chennai,Groundwater,8.41,1076,420,0.79,0.038,Unsafe
23,Village_23,Uttar Pradesh,Bhopal,Groundwater,7.86,638,252,0.85,0.094,Unsafe
24,Village_24,Bihar,Patna,Groundwater,8.42,1176,215,1.8,0.081,Unsafe
25,Village_25,Tamil Nadu,Nagpur,Groundwater,8.5,295,432,1.67,0.069,Unsafe
26,Village_26,Maharashtra,Chennai,Groundwater,6.82,881,253,0.34,0.049,Unsafe
27,Village_27,Tamil Nadu,Muzaffarnagar,Groundwater,6.68,362,479,1.49,0.068,Unsafe
28,Village_28,West Bengal,Nagpur,Groundwater,7.86,462,277,1.0,0.034,Unsafe
29,Village_29,Uttar Pradesh,Chennai,Groundwater,7.18,624,432,2.83,0.064,Unsafe
30,Village_30,Uttar Pradesh,Patna,Groundwater,7.68,1068,200,0.62,0.003,Unsafe
31,Village_31,Rajasthan,Ahmedabad,Groundwater,7.07,841,306,2.2,0.012,Unsafe
32,Village_32,Uttar Pradesh,Muzaffarnagar,Groundwater,7.6,363,369,2.9,0.044,Unsafe
33,Village_33,Rajasthan,Chennai,Groundwater,7.4,299,128,1.9,0.022,Unsafe
34,Village_34,West Bengal,Nagpur,Groundwater,7.06,232,443,0.63,0.046,Unsafe
35,Village_35,West Bengal,Ahmedabad,Groundwater,7.73,1038,157,0.51,0.026,Unsafe
36,Village_36,Madhya Pradesh,Ahmedabad,Groundwater,7.37,1234,200,2.7,0.009,Unsafe
37,Village_37,Uttar Pradesh,Bhopal,Groundwater,8.17,945,126,1.91,0.081,Unsafe
38,Village_38,Maharashtra,Muzaffarnagar,Groundwater,6.69,359,385,2.13,0.06,Unsafe
39,Village_39,Rajasthan,Kolkata,Groundwater,8.47,458,127,0.23,0.09,Unsafe
40,Village_40,West Bengal,Ahmedabad,Groundwater,7.75,669,365,2.09,0.01,Unsafe
41,Village_41,Rajasthan,Patna,Groundwater,8.0,845,290,1.93,0.067,Unsafe
42,Village_42,Bihar,Muzaffarnagar,Groundwater,6.72,640,410,1.0,0.048,Unsafe
43,Village_43,Tamil Nadu,Ahmedabad,Groundwater,6.58,349,441,1.58,0.099,Unsafe
44,Village_44,Bihar,Jaipur,Groundwater,7.17,511,299,1.34,0.005,Unsafe
45,Village_45,Uttar Pradesh,Chennai,Groundwater,7.12,982,162,2.99,0.053,Unsafe
46,Village_46,Madhya Pradesh,Nagpur,Groundwater,7.5,807,459,0.21,0.014,Unsafe
47,Village_47,West Bengal,Chennai,Groundwater,7.03,1397,299,1.84,0.058,Unsafe
48,Village_48,Maharashtra,Patna,Groundwater,6.75,939,243,0.33,0.006,Unsafe
49,Village_49,West Bengal,Muzaffarnagar,Groundwater,7.05,547,102,0.35,0.049,Unsafe
50,Village_50,Uttar Pradesh,Bhopal,Groundwater,7.81,1353,378,1.0,0.023,Unsafe
51,Village_51,Tamil Nadu,Jaipur,Groundwater,8.06,1029,310,1.53,0.08,Unsafe
52,Village_52,Tamil Nadu,Bhopal,Groundwater,8.02,1098,462,1.27,0.088,Unsafe
53,Village_53,Uttar Pradesh,Jaipur,Groundwater,7.76,278,361,2.38,0.074,Unsafe
54,Village_54,Gujarat,Kolkata,Groundwater,6.86,763,236,0.93,0.024,Unsafe
55,Village_55,West Bengal,Ahmedabad,Groundwater,7.44,356,453,0.69,0.065,Unsafe
56,Village_56,Uttar Pradesh,Muzaffarnagar,Groundwater,8.49,588,315,2.43,0.07,Unsafe
57,Village_57,Rajasthan,Jaipur,Groundwater,6.85,932,480,2.87,0.027,Unsafe
58,Village_58,Tamil Nadu,Chennai,Groundwater,7.47,1105,241,2.1,0.051,Unsafe
59,Village_59,West Bengal,Bhopal,Groundwater,6.52,427,333,1.55,0.055,Unsafe
60,Village_60,Gujarat,Kolkata,Groundwater,6.54,257,390,2.8,0.02,Unsafe
61,Village_61,Bihar,Patna,Groundwater,7.05,305,330,2.01,0.052,Unsafe
62,Village_62,Gujarat,Bhopal,Groundwater,8.06,1430,138,1.84,0.024,Unsafe
63,Village_63,West Bengal,Bhopal,Groundwater,8.05,405,452,0.34,0.03,Unsafe
64,Village_64,Tamil Nadu,Chennai,Groundwater,7.66,667,468,1.0,0.093,Unsafe
65,Village_65,Rajasthan,Jaipur,Groundwater,8.46,690,356,2.92,0.025,Unsafe
66,Village_66,Tamil Nadu,Chennai,Groundwater,6.92,1073,481,0.71,0.009,Unsafe
67,Village_67,Maharashtra,Ahmedabad,Groundwater,6.81,587,459,1.82,0.08,Unsafe
68,Village_68,Tamil Nadu,Jaipur,Groundwater,7.55,1148,325,0.6,0.035,Unsafe
69,Village_69,Madhya Pradesh,Bhopal,Groundwater,8.01,328,441,2.49,0.003,Unsafe
70,Village_70,West Bengal,Patna,Groundwater,7.3,995,380,1.1,0.034,Unsafe
71,Village_71,Maharashtra,Bhopal,Groundwater,6.99,1036,118,2.96,0.017,Unsafe
72,Village_72,Bihar,Nagpur,Groundwater,7.5,1421,266,0.6,0.061,Unsafe
73,Village_73,West Bengal,Muzaffarnagar,Groundwater,6.88,1047,132,1.17,0.058,Unsafe
74,Village_74,Bihar,Muzaffarnagar,Groundwater,7.22,612,449,2.84,0.025,Unsafe
75,Village_75,Bihar,Jaipur,Groundwater,7.23,1490,135,1.58,0.046,Unsafe
76,Village_76,Tamil Nadu,Bhopal,Groundwater,7.08,685,203,2.5,0.023,Unsafe
77,Village_77,Bihar,Ahmedabad,Groundwater,8.02,607,252,1.52,0.091,Unsafe
78,Village_78,Madhya Pradesh,Ahmedabad,Groundwater,8.34,289,330,1.63,0.069,Unsafe
79,Village_79,Uttar Pradesh,Bhopal,Groundwater,8.32,1007,216,1.6,0.089,Unsafe
80,Village_80,Maharashtra,Jaipur,Groundwater,8.13,825,474,2.29,0.005,Unsafe
81,Village_81,Maharashtra,Nagpur,Groundwater,6.62,1413,350,1.87,0.017,Unsafe
82,Village_82,Madhya Pradesh,Kolkata,Groundwater,7.14,754,411,2.56,0.023,Unsafe
83,Village_83,Gujarat,Patna,Groundwater,7.83,1084,154,2.49,0.012,Unsafe
84,Village_84,Maharashtra,Kolkata,Groundwater,8.21,438,185,1.75,0.078,Unsafe
85,Village_85,Rajasthan,Jaipur,Groundwater,7.88,1405,133,1.97,0.029,Unsafe
86,Village_86,West Bengal,Muzaffarnagar,Groundwater,8.31,738,306,2.66,0.082,Unsafe
87,Village_87,Bihar,Jaipur,Groundwater,7.71,1226,418,2.14,0.089,Unsafe
88,Village_88,Rajasthan,Muzaffarnagar,Groundwater,7.09,296,201,1.94,0.038,Unsafe
89,Village_89,Rajasthan,Jaipur,Groundwater,8.02,262,375,2.44,0.095,Unsafe
90,Village_90,Gujarat,Nagpur,Groundwater,7.83,534,260,1.32,0.026,Unsafe
91,Village_91,West Bengal,Kolkata,Groundwater,7.35,1414,473,2.04,0.081,Unsafe
92,Village_92,Bihar,Jaipur,Groundwater,8.38,969,205,0.85,0.024,Unsafe
93,Village_93,Rajasthan,Chennai,Groundwater,8.38,247,343,1.08,0.078,Unsafe
94,Village_94,Gujarat,Jaipur,Groundwater,7.24,1276,314,0.3,0.016,Unsafe
95,Village_95,Tamil Nadu,Nagpur,Groundwater,7.57,492,408,1.85,0.066,Unsafe
96,Village_96,Rajasthan,Kolkata,Groundwater,7.52,310,482,1.87,0.097,Unsafe
97,Village_97,Maharashtra,Bhopal,Groundwater,6.89,369,307,1.25,0.005,Safe
98,Village_98,Madhya Pradesh,Muzaffarnagar,Groundwater,7.9,452,180,0.93,0.042,Unsafe
99,Village_99,Rajasthan,Nagpur,Groundwater,8.15,305,410,2.73,0.054,Unsafe
100,Village_100,Madhya Pradesh,Kolkata,Groundwater,7.57,1244,479,0.73,0.071,Unsafe
101,Village_101,Gujarat,Nagpur,Groundwater,7.52,1130,162,1.22,0.092,Unsafe
102,Village_102,Tamil Nadu,Patna,Groundwater,7.66,1062,472,1.9,0.087,Unsafe
103,Village_103,Bihar,Jaipur,Groundwater,7.76,396,114,1.51,0.092,Unsafe
104,Village_104,Gujarat,Bhopal,Groundwater,7.41,448,283,2.75,0.08,Unsafe
105,Village_105,Gujarat,Jaipur,Groundwater,7.38,871,190,0.34,0.067,Unsafe
106,Village_106,Uttar Pradesh,Bhopal,Groundwater,8.49,854,175,1.93,0.005,Unsafe
107,Village_107,West Bengal,Patna,Groundwater,7.27,612,159,2.41,0.089,Unsafe
108,Village_108,Bihar,Nagpur,Groundwater,7.15,406,378,0.23,0.093,Unsafe
109,Village_109,Tamil Nadu,Kolkata,Groundwater,7.75,297,390,2.03,0.07,Unsafe
